spp_author,Species,BEs
"Dendropsophus rhea (Napoli & Caramaschi, 1999)",Dendropsophus rhea,0
"Dendropsophus tritaeniatus (Bokermann, 1965)",Dendropsophus tritaeniatus,0
"Drymoluber brazili (Gomes, 1918)",Drymoluber brazili,0
"Elachistocleis bumbameuboi Caramaschi, 2010",Elachistocleis bumbameuboi,0
"Elachistocleis matogrosso Caramaschi, 2010",Elachistocleis matogrosso,0
"Epictia clinorostris* Arredondo & Zaher, 2010",Epictia clinorostris*,0
"Erythrolamprus maryellenae (Dixon, 1985)",Erythrolamprus maryellenae,0
"Euscarthmus rufomarginatus  (Pelzeln, 1868)",Euscarthmus rufomarginatus,0
"Galea flavidens (Brandt, 1835)",Galea flavidens,0
"Geositta poeciloptera (Wied, 1830)",Geositta poeciloptera,0
"Gyldenstolpia planaltensis (Avila-Pires, 1972)",Gyldenstolpia planaltensis,0
"Gymnodactylus amarali Barbour, 1925",Gymnodactylus amarali,0
"Helicops gomesi* Amaral, 1921",Helicops gomesi*,0
"Helicops phantasma* Moraes-da-Silva et al., 2021 ",Helicops phantasma*,0
"Heterodactylus lundii Reinhardt & Luetken, 1862",Heterodactylus lundii,0
"Holochilus sciureus Wagner, 1842",Holochilus sciureus,0
"Hoplocercus spinosus Fitzinger, 1843",Hoplocercus spinosus,0
"Hydropsalis candicans (Pelzeln, 1867)",Hydropsalis candicans,0
"Ischnocnema penaxavantinho Giaretta et al., 2007",Ischnocnema penaxavantinho,0
"Kentropyx paulensis Boettger, 1893",Kentropyx paulensis,0
"Kentropyx vanzoi Gallagher & Dixon, 1980",Kentropyx vanzoi,0
"Kerodon acrobata Moojen et al., 1997",Kerodon acrobata,0
"Kunsia tomentosus (Lichtenstein, 1830)",Kunsia tomentosus,0
"Laterallus xenopterus Conover, 1934",Laterallus xenopterus,0
"Leposternon cerradensis Ribeiro et al., 2008",Leposternon cerradensis,0
"Leposternon mineiro* Ribeiro et al., 2018",Leposternon mineiro*,0
"Leptodactylus brevipes* Cope, 1887",Leptodactylus brevipes*,0
"Leptodactylus cunicularius Sazima & Bokermann, 1978",Leptodactylus cunicularius,0
"Leptodactylus furnarius Sazima & Bokermann, 1978",Leptodactylus furnarius,0
"Leptodactylus kilombo* Silva et al., 2020",Leptodactylus kilombo*,0
"Leptodactylus sertanejo Giaretta & Costa, 2007",Leptodactylus sertanejo,0
"Liotyphlops schubarti Vanzolini, 1948",Liotyphlops schubarti,0
"Lonchophylla dekeyseri Taddei et al., 1983",Lonchophylla dekeyseri,0
"Lygophis paucidens (Hoge, 1953)",Lygophis paucidens,0
"Lysapsus caraya Gallardo, 1964",Lysapsus caraya,0
"Manciola guaporicola (Dunn, 1935)",Manciola guaporicola,0
"Micrablepharus atticolus Rodrigues, 1996",Micrablepharus atticolus,0
"Micrurus brasiliensis Roze, 1967",Micrurus brasiliensis,0
"Monodelphis kunsi Pine, 1975",Monodelphis kunsi,0
"Mussurana quimi (Franco et al., 1997)",Mussurana quimi,0
"Nothura minor (Spix, 1825)",Nothura minor,0
"Nyctiprogne vielliardi (Lencioni-Neto, 1994)",Nyctiprogne vielliardi,0
Nystalus striatipectus (Sclater 1854),Nystalus striatipectus,0
"Odontophrynus cultripes Reinhardt & Lütken, 1862",Odontophrynus cultripes,0
"Odontophrynus monachus Caramaschi & Napoli, 2012",Odontophrynus monachus,0
"Oecomys cleberi Locks, 1981",Oecomys cleberi,0
"Oligoryzomys moojeni Weksler & Bonvicino, 2005",Oligoryzomys moojeni,0
"Oligoryzomys rupestris Weksler & Bonvicino, 2005",Oligoryzomys rupestris,0
"Oreobates heterodactylus (Miranda-Ribeiro, 1937)",Oreobates heterodactylus,0
"Oreobates remotus Teixeira Jr. et al., 2012",Oreobates remotus,0
"Oxymycterus delator Thomas, 1903",Oxymycterus delator,0
"Penelope ochrogaster Pelzeln, 1870",Penelope ochrogaster,0
"Phaethornis nattereri Berlepsch, 1887",Phaethornis nattereri,0
"Phalotris concolor Ferrarezzi, 1994",Phalotris concolor,0
"Phalotris labiomaculatus Lema, 2002",Phalotris labiomaculatus,0
"Phalotris lativittatus Ferrarezzi, 1994",Phalotris lativittatus,0
"Phalotris matogrossensis Lema et al., 2005",Phalotris matogrossensis,0
"Phalotris multipunctatus Puorto & Ferrarezzi, 1994",Phalotris multipunctatus,0
"Phalotris nasutus (Gomes, 1915)",Phalotris nasutus,0
"Philodryas livida (Amaral, 1923)",Philodryas livida,0
"Philodryas mattogrossensis Koslowsky, 1898",Philodryas mattogrossensis,0
"Phyllomyias reiseri Hellmayr, 1905",Phyllomyias reiseri,0
"Phyllomys centralis Machado et al., 2018",Phyllomys centralis,0
"Phylloscartes roquettei Snethlage, 1928",Phylloscartes roquettei,0
"Physalaemus atim* Brasileiro & Haddad, 2015",Physalaemus atim*,0
"Physalaemus marmoratus (Reinhardt & Lütken, 1862)",Physalaemus marmoratus,0
Pithecopus araguaius* Haga et al. 2017,Pithecopus araguaius*,0
"Pithecopus ayeaye Lutz, 1966",Pithecopus ayeaye,0
"Pithecopus centralis (Bokermann, 1965)",Pithecopus centralis,0
"Pristimantis dundeei (Heyer & Muñoz, 1999)",Pristimantis dundeei,0
"Pristimantis moa* Oliveira et al., 2020",Pristimantis moa*,0
"Pristimantis ventrigranulosus Maciel et al., 2012",Pristimantis ventrigranulosus,0
"Proceratophrys bagnoi Brandão et al., 2013",Proceratophrys bagnoi,0
"Proceratophrys branti Brandão et al., 2013",Proceratophrys branti,0
"Proceratophrys carranca Godinho et al., 2013",Proceratophrys carranca,0
"Proceratophrys dibernardoi Brandão et al., 2013",Proceratophrys dibernardoi,0
"Proceratophrys goyana (Miranda-Ribeiro, 1937)",Proceratophrys goyana,0
"Proceratophrys huntingtoni Ávila et al., 2012",Proceratophrys huntingtoni,0
Proceratophrys moratoi (Jim & Caramaschi 1980),Proceratophrys moratoi,0
"Proceratophrys rotundipalpebra Martins & Giaretta, 2013",Proceratophrys rotundipalpebra,0
"Proceratophrys strussmannae Ávila et al., 2011",Proceratophrys strussmannae,0
"Proceratophrys vielliardi Martins & Giaretta, 2011",Proceratophrys vielliardi,0
Pseudopaludicola atragula* Pansonato et al. 2014,Pseudopaludicola atragula*,0
"Pseudopaludicola coracoralinae* Andrade et al., 2020",Pseudopaludicola coracoralinae*,0
"Pseudopaludicola facureae* Andrade & Carvalho, 2013",Pseudopaludicola facureae*,0
"Pseudopaludicola jazmynmcdonaldae* Andrade et al., 2019",Pseudopaludicola jazmynmcdonaldae*,0
"Pseudopaludicola ternetzi* Miranda-Ribeiro, 1937",Pseudopaludicola ternetzi*,0
"Pyrrhura pfrimeri Miranda-Ribeiro, 1920",Pyrrhura pfrimeri,0
"Rhinella cerradensis Maciel et al., 2007",Rhinella cerradensis,0
"Rhinella mirandaribeiroi (Gallardo, 1965)",Rhinella mirandaribeiroi,0
"Rhinella ocellata (Günther, 1858)",Rhinella ocellata,0
"Rhinella sebbeni* Vaz-Silva et al., 2015",Rhinella sebbeni*,0
"Rhinella veredas (Brandão et al., 2007)",Rhinella veredas,0
"Rhipidomys ipukensis Rocha et al., 2011",Rhipidomys ipukensis,0
"Rhipidomys macrurus (Gervais, 1855)",Rhipidomys macrurus,0
"Salvator duseni (Lönnberg, 1910)",Salvator duseni,0
"Scinax canastrensis (Cardoso & Haddad, 1982)",Scinax canastrensis,0
"Scinax constrictus Lima et al., 2005",Scinax constrictus,0
"Scinax haddadorum* Araújo-Vieira et al., 2016",Scinax haddadorum*,0
"Scinax maracaya (Cardoso & Sazima, 1980)",Scinax maracaya,0
"Scinax pombali Lourenço et al., 2013",Scinax pombali,0
"Scinax rogerioi Pugliese et al., 2009",Scinax rogerioi,0
"Scinax tigrinus Nunes et al., 2010",Scinax tigrinus,0
"Scytalopus novacapitalis Sick, 1958",Scytalopus novacapitalis,0
"Siagonodon acutirostris Pinto & Curcio, 2011",Siagonodon acutirostris,0
