"class","family","genus","species","range","year","New","IUCN","elev_class"
"Amphibians","Microhylidae","Chiasmocleis","Chiasmocleis albopunctata","Wide",1885,"n","LC","depression"
"Amphibians","Microhylidae","Chiasmocleis","Chiasmocleis centralis","Partial",1952,"n","DD","depression"
"Snakes","Colubridae","Chironius","Chironius brazili*","Partial",2015,"s","-","plateau"
"Aves","Furnariidae","Cinclodes","Cinclodes espinhacensis","Restricted",2012,"s","-","plateau"
"Aves","Furnariidae","Clibanornis","Clibanornis rectirostris","Partial",1831,"s","LC","plateau"
"Mammals","Echimyidae","Clyomys","Clyomys laticeps","Partial",1909,"s","LC","general"
"Lizards","Sphaerodactylidae","Coleodactylus","Coleodactylus brachystoma","Partial",1935,"n","-","depression"
"Lizards","Gymnophthalmidae","Colobosaura","Colobosaura modesta","Wide",1862,"n","-","depression"
"Aves","Columbidae","Columbina","Columbina cyanopis","Partial",1870,"s","CR","general"
"Aves","Thraupidae","Conothraups","Conothraupis mesoleuca","Partial",1939,"s","EN","general"
"Aves","Thraupidae","Coryphaspiza","Coryphaspiza melanotis","Partial",1822,"s","VU","plateau"
"Amphibians","Hylodidae","Crossodactylus","Crossodactylus franciscanus*","Restricted",2015,"s","-","plateau"
"Amphibians","Hylodidae","Crossodactylus","Crossodactylus trachystomus","Restricted",1862,"n","DD","plateau"
"Mammals","Ctenomyidae","Ctenomys","Ctenomys bicolor","Partial",1914,"s","?","depression"
"Mammals","Ctenomyidae","Ctenomys","Ctenomys nattereri","Partial",1848,"s","LC","depression"
"Aves","Corvidae","Cyanocorax","Cyanocorax cristatellus","Wide",1823,"s","LC","plateau"
"Amphibians","Hylidae","Dendropsophus","Dendropsophus anataliasiasi","Partial",1972,"n","LC","depression"
"Amphibians","Hylidae","Dendropsophus","Dendropsophus araguaya","Restricted",1998,"n","DD","plateau"
"Amphibians","Hylidae","Dendropsophus","Dendropsophus cerradensis","Restricted",1998,"n","DD","depression"
"Amphibians","Hylidae","Dendropsophus","Dendropsophus cruzi","Partial",1998,"n","LC","depression"
"Amphibians","Hylidae","Dendropsophus","Dendropsophus elianeae","Partial",2000,"n","LC","general"
"Amphibians","Hylidae","Dendropsophus","Dendropsophus jimi","Partial",1999,"n","LC","plateau"
"Amphibians","Hylidae","Dendropsophus","Dendropsophus rhea","Restricted",1999,"n","DD","plateau"
"Amphibians","Hylidae","Dendropsophus","Dendropsophus rubicundulus","Partial",1862,"n","LC","plateau"
"Amphibians","Hylidae","Dendropsophus","Dendropsophus tritaeniatus","Restricted",1965,"n","LC","depression"
"Snakes","Colubridae","Drymoluber","Drymoluber brazili","Wide",1918,"n","-","depression"
"Amphibians","Microhylidae","Elachistocleis","Elachistocleis bumbameuboi","Restricted",2010,"n","DD","depression"
"Amphibians","Microhylidae","Elachistocleis","Elachistocleis matogrosso","Partial",2010,"n","LC","depression"
"Aves","Thraupidae","Embernagra","Embernagra longicauda","Partial",1844,"s","LC","plateau"
"Lizards","Leiosauridae","Enyalius","Enyalius capetinga*","Restricted",2018,"s","-","plateau"
"Snakes","Boidae","Epicrates","Epicrates crassus","Wide",1862,"n","-","depression"
"Snakes","Leptotyphlopidae","Epictia","Epictia clinorostris*","Restricted",2010,"s","-","depression"
"Snakes","Dipsadidae","Erythrolamprus","Erythrolamprus maryellenae","Partial",1985,"n","-","plateau"
"Lizards","Tropiduridae","Eurolophosaurus","Eurolophosaurus nanuzae","Restricted",1981,"n","LC","plateau"
"Mammals","Cricetidae","Euryoryzomys","Euryoryzomys lamia","Restricted",1901,"s","VU","plateau"
"Aves","Tyrannidae","Euscarthmus","Euscarthmus rufomarginatus","Wide",1868,"s","NT","depression"
"Mammals","Caviidae","Galea","Galea flavidens","Partial",1835,"s","LC","depression"
"Aves","Scleruridae","Geositta","Geositta poeciloptera","Partial",1830,"s","VU","plateau"
"Mammals","Cricetidae","Gyldenstolpia","Gyldenstolpia planaltensis","Restricted",1972,"s","-","plateau"
"Lizards","Phyllodactylidae","Gymnodactylus","Gymnodactylus amarali","Partial",1925,"n","LC","depression"
"Lizards","Phyllodactylidae","Gymnodactylus","Gymnodactylus guttulatus","Restricted",1982,"n","LC","plateau"
"Snakes","Dipsadidae","Helicops","Helicops boitata*","Restricted",2019,"s","-","depression"
"Snakes","Dipsadidae","Helicops","Helicops gomesi*","Partial",1921,"s","-","general"
"Snakes","Dipsadidae","Helicops","Helicops phantasma*","Partial",2021,"s","-","depression"
"Aves","Thamnophilidae","Herpsilochmus","Herpsilochmus longirostris","Partial",1868,"s","LC","depression"
"Lizards","Gymnophthalmidae","Heterodactylus","Heterodactylus lundii","Restricted",1862,"n","-","plateau"
"Mammals","Cricetidae","Holochilus","Holochilus sciureus","Partial",1842,"s","?","depression"
"Lizards","Hoplocercidae","Hoplocercus","Hoplocercus spinosus","Partial",1843,"n","-","depression"
"Aves","Caprimulgidae","Hydropsalis","Hydropsalis candicans","Partial",1867,"s","EN","general"
"Mammals","Cricetidae","Hylaeamys","Hylaeamys acritus","Partial",2005,"s","?","depression"
"Amphibians","Hylodidae","Hylodes","Hylodes otavioi","Restricted",1983,"n","DD","plateau"
"Amphibians","Brachycephalidae","Ischnocnema","Ischnocnema penaxavantinho","Restricted",2007,"n","DD","plateau"
"Mammals","Cricetidae","Juscelinomys","Juscelinomys candango","Restricted",1965,"s","EX","plateau"
"Mammals","Cricetidae","Juscelinomys","Juscelinomys huanchacae","Restricted",1999,"s","DD","depression"
"Lizards","Teiidae","Kentropyx","Kentropyx paulensis","Partial",1893,"n","-","general"
"Lizards","Teiidae","Kentropyx","Kentropyx vanzoi","Partial",1980,"n","-","depression"
"Mammals","Caviidae","Kerodon","Kerodon acrobata","Restricted",1997,"s","DD","general"
"Aves","Tyrannidae","Knipolegus","Knipolegus franciscanus","Partial",1928,"s","LC","plateau"
"Mammals","Cricetidae","Kunsia","Kunsia tomentosus","Partial",1830,"s","LC","depression"
"Aves","Rallidae","Laterallus","Laterallus xenopterus","Partial",1934,"s","VU","plateau"
"Lizards","Amphisbaenidae","Leposternon","Leposternon cerradensis","Restricted",2008,"n","-","plateau"
"Lizards","Amphisbaenidae","Leposternon","Leposternon maximus","Restricted",2011,"n","-","plateau"
"Lizards","Amphisbaenidae","Leposternon","Leposternon mineiro*","Restricted",2018,"s","-","plateau"
"Amphibians","Leptodactylidae","Leptodactylus","Leptodactylus brevipes*","Partial",1887,"s","-","general"
"Amphibians","Leptodactylidae","Leptodactylus","Leptodactylus camaquara","Restricted",1978,"n","DD","plateau"
"Amphibians","Leptodactylidae","Leptodactylus","Leptodactylus cunicularius","Restricted",1978,"n","LC","plateau"
"Amphibians","Leptodactylidae","Leptodactylus","Leptodactylus furnarius","Partial",1978,"n","LC","plateau"
"Amphibians","Leptodactylidae","Leptodactylus","Leptodactylus kilombo*","Restricted",2020,"s","-","general"
