"class","family","genus","species","range","year","New","IUCN","elev_class"
"Amphibians","Phyllomedusidae","Pithecopus","Pithecopus megacephalus","Restricted",1926,"n","DD","plateau"
"Amphibians","Phyllomedusidae","Pithecopus","Pithecopus oreades","Partial",2002,"n","DD","plateau"
"Lizards","Gymnophthalmidae","Placosoma","Placosoma cipoense","Restricted",1966,"n","-","plateau"
"Aves","Tyrannidae","Polystictus","Polystictus superciliaris","Partial",1831,"s","LC","plateau"
"Aves","Thraupidae","Poospiza","Poospiza cinerea","Partial",1850,"s","LC","plateau"
"Aves","Thraupidae","Porphyrospiza","Porphyrospiza caerulescens","Wide",1830,"s","NT","plateau"
"Amphibians","Craugastoridae","Pristimantis","Pristimantis dundeei","Partial",1999,"n","DD","general"
"Amphibians","Craugastoridae","Pristimantis","Pristimantis moa*","Restricted",2020,"s","-","depression"
"Amphibians","Craugastoridae","Pristimantis","Pristimantis ventrigranulosus","Restricted",2012,"n","-","plateau"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys bagnoi","Restricted",2013,"n","-","general"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys branti","Partial",2013,"n","-","depression"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys carranca","Restricted",2013,"n","-","plateau"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys cururu","Restricted",1998,"n","DD","plateau"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys dibernardoi","Partial",2013,"n","-","plateau"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys goyana","Partial",1937,"n","LC","general"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys huntingtoni","Restricted",2012,"n","-","depression"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys moratoi","Partial",1980,"n","CR","plateau"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys rotundipalpebra","Restricted",2013,"n","-","plateau"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys salvatori","Restricted",1996,"n","DD","plateau"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys strussmannae","Restricted",2011,"n","-","depression"
"Amphibians","Odontophrynidae","Proceratophrys","Proceratophrys vielliardi","Restricted",2011,"n","DD","plateau"
"Amphibians","Hylidae","Pseudis","Pseudis tocantins","Partial",1998,"n","LC","depression"
"Amphibians","Leptodactylidae","Pseudopaludicola","Pseudopaludicola atragula*","Restricted",2014,"s","-","depression"
"Amphibians","Leptodactylidae","Pseudopaludicola","Pseudopaludicola coracoralinae*","Restricted",2020,"s","-","plateau"
