cod_areas,xcoord,ycoord,1
BE 2,-41.9437713621586,-17.0323257448372,612
BE 3,-48.9437713621586,-15.0323257448372,926
BE 3,-48.9437713621586,-16.0323257448372,917
BE 3,-48.9437713621586,-17.0323257448372,814
BE 3,-48.9437713621586,-18.0323257448372,608
BE 3,-47.9437713621586,-14.0323257448372,568
BE 3,-47.9437713621586,-15.0323257448372,901
BE 3,-47.9437713621586,-16.0323257448372,1045
BE 3,-47.9437713621586,-17.0323257448372,705
BE 3,-47.9437713621586,-18.0323257448372,910
BE 3,-46.9437713621586,-14.0323257448372,410
BE 3,-46.9437713621586,-15.0323257448372,754
BE 3,-46.9437713621586,-16.0323257448372,847
BE 3,-46.9437713621586,-17.0323257448372,702
BE 3,-46.9437713621586,-18.0323257448372,630
BE 4,-60.9437713621586,-15.0323257448372,219
BE 4,-58.9437713621586,-13.0323257448372,400
BE 4,-58.9437713621586,-15.0323257448372,562
BE 4,-57.9437713621586,-16.0323257448372,172
BE 4,-57.9437713621586,-22.0323257448372,123
BE 4,-57.9437713621586,-23.0323257448372,60
BE 4,-56.9437713621586,-15.0323257448372,190
BE 4,-56.9437713621586,-16.0323257448372,166
BE 4,-56.9437713621586,-20.0323257448372,303
BE 4,-56.9437713621586,-21.0323257448372,205
BE 4,-56.9437713621586,-22.0323257448372,281
BE 4,-56.9437713621586,-23.0323257448372,144
BE 4,-55.9437713621586,-14.0323257448372,413
BE 4,-55.9437713621586,-15.0323257448372,314
BE 4,-55.9437713621586,-16.0323257448372,107
BE 4,-55.9437713621586,-20.0323257448372,174
BE 4,-55.9437713621586,-21.0323257448372,182
BE 4,-55.9437713621586,-22.0323257448372,586
BE 4,-55.9437713621586,-23.0323257448372,315
BE 4,-55.9437713621586,-24.0323257448372,147
BE 4,-54.9437713621586,-16.0323257448372,365
BE 4,-54.9437713621586,-18.0323257448372,219
BE 4,-54.9437713621586,-19.0323257448372,461
BE 4,-54.9437713621586,-20.0323257448372,277
BE 4,-54.9437713621586,-21.0323257448372,418
BE 4,-54.9437713621586,-22.0323257448372,361
BE 4,-54.9437713621586,-23.0323257448372,323
BE 4,-54.9437713621586,-24.0323257448372,379
BE 4,-53.9437713621586,-16.0323257448372,406
BE 4,-53.9437713621586,-17.0323257448372,615
BE 4,-53.9437713621586,-18.0323257448372,313
BE 4,-53.9437713621586,-20.0323257448372,459
BE 4,-53.9437713621586,-21.0323257448372,426
BE 4,-53.9437713621586,-22.0323257448372,307
BE 4,-53.9437713621586,-23.0323257448372,269
BE 4,-52.9437713621586,-17.0323257448372,562
BE 4,-52.9437713621586,-18.0323257448372,838
BE 4,-52.9437713621586,-19.0323257448372,615
BE 4,-52.9437713621586,-20.0323257448372,306
BE 4,-52.9437713621586,-22.0323257448372,398
BE 4,-51.9437713621586,-13.0323257448372,346
BE 4,-51.9437713621586,-15.0323257448372,311
BE 4,-51.9437713621586,-16.0323257448372,536
BE 4,-51.9437713621586,-18.0323257448372,633
BE 4,-51.9437713621586,-19.0323257448372,556
BE 4,-51.9437713621586,-21.0323257448372,314
BE 4,-51.9437713621586,-22.0323257448372,316
BE 4,-50.9437713621586,-12.0323257448372,240
BE 4,-50.9437713621586,-16.0323257448372,711
BE 4,-50.9437713621586,-17.0323257448372,666
BE 4,-50.9437713621586,-18.0323257448372,694
BE 4,-50.9437713621586,-19.0323257448372,422
BE 4,-50.9437713621586,-20.0323257448372,339
BE 4,-50.9437713621586,-21.0323257448372,399
BE 4,-50.9437713621586,-22.0323257448372,413
BE 4,-50.9437713621586,-23.0323257448372,368
BE 4,-49.9437713621586,-16.0323257448372,814
BE 4,-49.9437713621586,-17.0323257448372,608
BE 4,-49.9437713621586,-19.0323257448372,576
BE 4,-49.9437713621586,-20.0323257448372,426
BE 4,-49.9437713621586,-21.0323257448372,424
BE 4,-49.9437713621586,-22.0323257448372,445
BE 4,-49.9437713621586,-23.0323257448372,482
BE 4,-49.9437713621586,-24.0323257448372,622
BE 4,-48.9437713621586,-12.0323257448372,458
BE 4,-48.9437713621586,-13.0323257448372,449
BE 4,-48.9437713621586,-14.0323257448372,612
BE 4,-48.9437713621586,-15.0323257448372,926
BE 4,-48.9437713621586,-16.0323257448372,917
BE 4,-48.9437713621586,-17.0323257448372,814
BE 4,-48.9437713621586,-18.0323257448372,608
BE 4,-48.9437713621586,-19.0323257448372,619
BE 4,-48.9437713621586,-20.0323257448372,558
BE 4,-48.9437713621586,-21.0323257448372,610
BE 4,-48.9437713621586,-22.0323257448372,460
BE 4,-48.9437713621586,-23.0323257448372,835
BE 4,-48.9437713621586,-24.0323257448372,875
BE 4,-47.9437713621586,-13.0323257448372,353
BE 4,-47.9437713621586,-14.0323257448372,568
BE 4,-47.9437713621586,-15.0323257448372,901
BE 4,-47.9437713621586,-16.0323257448372,1045
BE 4,-47.9437713621586,-17.0323257448372,705
BE 4,-47.9437713621586,-18.0323257448372,910
BE 4,-47.9437713621586,-19.0323257448372,752
BE 4,-47.9437713621586,-20.0323257448372,571
BE 4,-47.9437713621586,-21.0323257448372,547
BE 4,-47.9437713621586,-22.0323257448372,766
BE 4,-47.9437713621586,-23.0323257448372,505
BE 4,-47.9437713621586,-24.0323257448372,735
BE 4,-46.9437713621586,-13.0323257448372,556
BE 4,-46.9437713621586,-14.0323257448372,410
BE 4,-46.9437713621586,-16.0323257448372,847
BE 4,-46.9437713621586,-17.0323257448372,702
BE 4,-46.9437713621586,-18.0323257448372,630
BE 4,-46.9437713621586,-19.0323257448372,919
BE 4,-46.9437713621586,-20.0323257448372,1017
BE 4,-46.9437713621586,-21.0323257448372,991
BE 4,-46.9437713621586,-22.0323257448372,646
BE 4,-46.9437713621586,-23.0323257448372,863
BE 4,-45.9437713621586,-13.0323257448372,778
BE 4,-45.9437713621586,-14.0323257448372,862
BE 4,-45.9437713621586,-15.0323257448372,830
BE 4,-45.9437713621586,-16.0323257448372,513
BE 4,-45.9437713621586,-17.0323257448372,561
BE 4,-45.9437713621586,-18.0323257448372,865
BE 4,-45.9437713621586,-19.0323257448372,915
BE 4,-45.9437713621586,-20.0323257448372,847
BE 4,-45.9437713621586,-21.0323257448372,740
BE 4,-44.9437713621586,-16.0323257448372,529
BE 4,-44.9437713621586,-17.0323257448372,621
BE 4,-44.9437713621586,-18.0323257448372,703
BE 4,-44.9437713621586,-19.0323257448372,651
BE 4,-44.9437713621586,-20.0323257448372,765
BE 4,-44.9437713621586,-21.0323257448372,919
BE 4,-44.9437713621586,-22.0323257448372,979
BE 4,-43.9437713621586,-15.0323257448372,417
BE 4,-43.9437713621586,-17.0323257448372,910
BE 4,-43.9437713621586,-18.0323257448372,1217
BE 4,-43.9437713621586,-19.0323257448372,696
BE 4,-43.9437713621586,-20.0323257448372,1088
BE 4,-43.9437713621586,-21.0323257448372,1013
BE 4,-43.9437713621586,-22.0323257448372,1224
BE 4,-42.9437713621586,-15.0323257448372,610
BE 4,-42.9437713621586,-16.0323257448372,924
BE 4,-42.9437713621586,-17.0323257448372,599
BE 4,-42.9437713621586,-19.0323257448372,597
BE 4,-42.9437713621586,-20.0323257448372,907
BE 4,-41.9437713621586,-17.0323257448372,612
BE 5,-48.9437713621586,-14.0323257448372,612
BE 5,-47.9437713621586,-13.0323257448372,353
BE 5,-47.9437713621586,-14.0323257448372,568
BE 5,-47.9437713621586,-15.0323257448372,901
BE 5,-46.9437713621586,-14.0323257448372,410
BE 6,-55.9437713621586,-14.0323257448372,413
BE 6,-55.9437713621586,-15.0323257448372,314
BE 6,-54.9437713621586,-16.0323257448372,365
BE 7,-45.9437713621586,-13.0323257448372,778
BE 7,-45.9437713621586,-14.0323257448372,862
BE 7,-45.9437713621586,-15.0323257448372,830
BE 8,-46.9437713621586,-19.0323257448372,919
BE 8,-46.9437713621586,-20.0323257448372,1017
BE 8,-46.9437713621586,-22.0323257448372,646
BE 8,-45.9437713621586,-20.0323257448372,847
BE 8,-45.9437713621586,-21.0323257448372,740
BE 8,-44.9437713621586,-20.0323257448372,765
BE 9,-49.9437713621586,-15.0323257448372,626
BE 9,-48.9437713621586,-11.0323257448372,309
BE 9,-48.9437713621586,-14.0323257448372,612
BE 9,-48.9437713621586,-15.0323257448372,926
BE 9,-48.9437713621586,-16.0323257448372,917
BE 9,-48.9437713621586,-17.0323257448372,814
BE 9,-48.9437713621586,-18.0323257448372,608
BE 9,-48.9437713621586,-19.0323257448372,619
BE 9,-47.9437713621586,-13.0323257448372,353
BE 9,-47.9437713621586,-14.0323257448372,568
BE 9,-47.9437713621586,-15.0323257448372,901
BE 9,-47.9437713621586,-16.0323257448372,1045
BE 9,-47.9437713621586,-18.0323257448372,910
BE 9,-47.9437713621586,-19.0323257448372,752
BE 9,-46.9437713621586,-13.0323257448372,556
BE 9,-46.9437713621586,-14.0323257448372,410
BE 9,-46.9437713621586,-19.0323257448372,919
BE 10,-57.9437713621586,-16.0323257448372,172
BE 10,-56.9437713621586,-15.0323257448372,190
BE 10,-56.9437713621586,-16.0323257448372,166
BE 10,-55.9437713621586,-15.0323257448372,314
BE 10,-55.9437713621586,-16.0323257448372,107
BE 11,-60.9437713621586,-14.0323257448372,243
BE 11,-60.9437713621586,-15.0323257448372,219
BE 11,-59.9437713621586,-15.0323257448372,193
BE 11,-58.9437713621586,-15.0323257448372,562
BE 12,-53.9437713621586,-17.0323257448372,615
BE 12,-52.9437713621586,-16.0323257448372,404
BE 12,-52.9437713621586,-17.0323257448372,562
BE 12,-52.9437713621586,-18.0323257448372,838
BE 12,-51.9437713621586,-16.0323257448372,536
BE 12,-51.9437713621586,-17.0323257448372,874
BE 13,-55.9437713621586,-15.0323257448372,314
BE 13,-55.9437713621586,-21.0323257448372,182
BE 13,-54.9437713621586,-16.0323257448372,365
BE 13,-54.9437713621586,-18.0323257448372,219
BE 13,-54.9437713621586,-20.0323257448372,277
BE 13,-53.9437713621586,-16.0323257448372,406
BE 13,-52.9437713621586,-17.0323257448372,562
BE 13,-52.9437713621586,-18.0323257448372,838
BE 13,-51.9437713621586,-14.0323257448372,396
BE 13,-51.9437713621586,-18.0323257448372,633
BE 13,-51.9437713621586,-19.0323257448372,556
BE 13,-50.9437713621586,-15.0323257448372,328
BE 13,-50.9437713621586,-18.0323257448372,694
BE 13,-49.9437713621586,-16.0323257448372,814
BE 13,-49.9437713621586,-17.0323257448372,608
BE 13,-49.9437713621586,-20.0323257448372,426
BE 13,-49.9437713621586,-21.0323257448372,424
BE 13,-49.9437713621586,-22.0323257448372,445
BE 13,-49.9437713621586,-23.0323257448372,482
BE 13,-49.9437713621586,-24.0323257448372,622
BE 13,-48.9437713621586,-14.0323257448372,612
BE 13,-48.9437713621586,-16.0323257448372,917
BE 13,-48.9437713621586,-17.0323257448372,814
BE 13,-48.9437713621586,-18.0323257448372,608
BE 13,-48.9437713621586,-20.0323257448372,558
BE 13,-48.9437713621586,-21.0323257448372,610
BE 13,-48.9437713621586,-22.0323257448372,460
BE 13,-48.9437713621586,-23.0323257448372,835
BE 13,-47.9437713621586,-13.0323257448372,353
BE 13,-47.9437713621586,-14.0323257448372,568
BE 13,-47.9437713621586,-15.0323257448372,901
BE 13,-47.9437713621586,-16.0323257448372,1045
BE 13,-47.9437713621586,-17.0323257448372,705
BE 13,-47.9437713621586,-18.0323257448372,910
BE 13,-47.9437713621586,-19.0323257448372,752
BE 13,-47.9437713621586,-20.0323257448372,571
BE 13,-47.9437713621586,-21.0323257448372,547
BE 13,-47.9437713621586,-22.0323257448372,766
BE 13,-47.9437713621586,-23.0323257448372,505
BE 13,-46.9437713621586,-14.0323257448372,410
BE 13,-46.9437713621586,-15.0323257448372,754
BE 13,-46.9437713621586,-16.0323257448372,847
BE 13,-46.9437713621586,-17.0323257448372,702
BE 13,-46.9437713621586,-18.0323257448372,630
BE 13,-46.9437713621586,-19.0323257448372,919
BE 13,-46.9437713621586,-20.0323257448372,1017
BE 13,-46.9437713621586,-21.0323257448372,991
BE 13,-46.9437713621586,-22.0323257448372,646
BE 13,-45.9437713621586,-11.0323257448372,778
BE 13,-45.9437713621586,-16.0323257448372,513
BE 13,-45.9437713621586,-18.0323257448372,865
BE 13,-45.9437713621586,-19.0323257448372,915
BE 13,-45.9437713621586,-20.0323257448372,847
BE 13,-45.9437713621586,-21.0323257448372,740
BE 13,-44.9437713621586,-17.0323257448372,621
BE 13,-44.9437713621586,-18.0323257448372,703
BE 13,-44.9437713621586,-19.0323257448372,651
BE 13,-44.9437713621586,-20.0323257448372,765
BE 13,-44.9437713621586,-21.0323257448372,919
BE 13,-44.9437713621586,-22.0323257448372,979
BE 13,-43.9437713621586,-16.0323257448372,632
BE 13,-43.9437713621586,-17.0323257448372,910
BE 13,-43.9437713621586,-18.0323257448372,1217
BE 13,-43.9437713621586,-19.0323257448372,696
BE 13,-43.9437713621586,-20.0323257448372,1088
BE 13,-43.9437713621586,-21.0323257448372,1013
BE 13,-43.9437713621586,-22.0323257448372,1224
BE 13,-42.9437713621586,-16.0323257448372,924
BE 13,-42.9437713621586,-17.0323257448372,599
BE 13,-42.9437713621586,-18.0323257448372,1088
BE 13,-42.9437713621586,-20.0323257448372,907
BE 14,-55.9437713621586,-23.0323257448372,315
BE 14,-54.9437713621586,-20.0323257448372,277
BE 14,-54.9437713621586,-24.0323257448372,379
BE 14,-53.9437713621586,-21.0323257448372,426
BE 14,-52.9437713621586,-18.0323257448372,838
BE 14,-52.9437713621586,-19.0323257448372,615
BE 14,-52.9437713621586,-22.0323257448372,398
BE 14,-51.9437713621586,-19.0323257448372,556
BE 14,-51.9437713621586,-21.0323257448372,314
BE 14,-51.9437713621586,-22.0323257448372,316
BE 14,-50.9437713621586,-18.0323257448372,694
BE 14,-50.9437713621586,-20.0323257448372,339
BE 14,-50.9437713621586,-21.0323257448372,399
BE 14,-50.9437713621586,-22.0323257448372,413
BE 14,-50.9437713621586,-23.0323257448372,368
BE 14,-49.9437713621586,-20.0323257448372,426
BE 14,-49.9437713621586,-21.0323257448372,424
BE 14,-49.9437713621586,-22.0323257448372,445
BE 14,-49.9437713621586,-23.0323257448372,482
BE 14,-49.9437713621586,-24.0323257448372,622
BE 14,-49.9437713621586,-25.0323257448372,914
BE 14,-48.9437713621586,-18.0323257448372,608
BE 14,-48.9437713621586,-19.0323257448372,619
BE 14,-48.9437713621586,-20.0323257448372,558
BE 14,-48.9437713621586,-21.0323257448372,610
BE 14,-48.9437713621586,-22.0323257448372,460
BE 14,-48.9437713621586,-23.0323257448372,835
BE 14,-48.9437713621586,-24.0323257448372,875
BE 14,-47.9437713621586,-16.0323257448372,1045
BE 14,-47.9437713621586,-17.0323257448372,705
BE 14,-47.9437713621586,-19.0323257448372,752
BE 14,-47.9437713621586,-20.0323257448372,571
BE 14,-47.9437713621586,-21.0323257448372,547
BE 14,-47.9437713621586,-22.0323257448372,766
BE 14,-47.9437713621586,-23.0323257448372,505
BE 14,-47.9437713621586,-24.0323257448372,735
BE 14,-46.9437713621586,-19.0323257448372,919
BE 14,-46.9437713621586,-20.0323257448372,1017
BE 14,-46.9437713621586,-21.0323257448372,991
BE 14,-46.9437713621586,-22.0323257448372,646
BE 14,-46.9437713621586,-23.0323257448372,863
