Pithecopus megacephalus
Pithecopus oreades
Placosoma cipoense
Polystictus superciliaris
Poospiza cinerea
Porphyrospiza caerulescens
Pristimantis dundeei
Pristimantis moa*
Pristimantis ventrigranulosus
Proceratophrys bagnoi
Proceratophrys branti
Proceratophrys carranca
Proceratophrys cururu
Proceratophrys dibernardoi
Proceratophrys goyana
Proceratophrys huntingtoni
Proceratophrys moratoi
Proceratophrys rotundipalpebra
Proceratophrys salvatori
Proceratophrys strussmannae
Proceratophrys vielliardi
Pseudis tocantins
Pseudopaludicola atragula*
Pseudopaludicola coracoralinae*
Pseudopaludicola facureae*
Pseudopaludicola ibisoroca*
Pseudopaludicola jazmynmcdonaldae*
Pseudopaludicola mineira*
Pseudopaludicola ternetzi*
Psilops seductus*
Pyrrhura pfrimeri
Rhachidelus brazili
Rhachisaurus brachylepis
Rhinella cerradensis
Rhinella inopina
Rhinella mirandaribeiroi
Rhinella ocellata
Rhinella rubescens
Rhinella scitula
Rhinella sebbeni*
Rhinella veredas
Rhipidomys ipukensis
Rhipidomys macrurus
Saltatricula atricollis
Salvator duseni
Scinax cabralensis
Scinax canastrensis
Scinax centralis
Scinax constrictus
Scinax curicica
Scinax goya*
Scinax haddadorum*
Scinax machadoi
Scinax maracaya
Scinax pinimus
Scinax pombali
Scinax rogerioi
Scinax rossaferesae*
Scinax rupestris*
Scinax skaios
Scinax tigrinus
Scytalopus novacapitalis
Siagonodon acutirostris
Simophis rhinostoma
Sporophila nigrorufa
Stenocercus albolineatus*
Stenocercus canastra*
Stenocercus quinarius
Stenocercus sinesaccus
Suiriri affinis
Synallaxis simoni
Syndactyla dimidiata
Tantilla boipiranga
Taoniscus nanus
Thalpomys cerradensis
Thalpomys lasiotis
Thamnodynastes rutilus
Thoropa megatympanum
Thrichomys apereoides
Thrichomys pachyurus
Thylamys velutinus
Trachycephalus mambaiensis
Trilepida brasiliensis
Trilepida fuliginosa
Trilepida jani
Trilepida koppesi
Trinomys moojeni
Tropidophis preciosus
Tropidurus callathelys
Tropidurus chromatops
Tropidurus itambere
Tropidurus montanus
Tropidurus oreadicus
Tupinambis matipu*
Tupinambis quadrilineatus
Uropelia campestris
Vanzosaura savanicola*
Xenodon matogrossensis
Xenodon nattereri
