species,elevation,sample
Alipiopsitta xanthops,876,308
Alipiopsitta xanthops,876,308
Alipiopsitta xanthops,901,304
Alipiopsitta xanthops,901,304
Alipiopsitta xanthops,304,303
Alipiopsitta xanthops,498,323
Alipiopsitta xanthops,740,137
Alipiopsitta xanthops,740,137
Alipiopsitta xanthops,1123,304
Alipiopsitta xanthops,821,347
Alipiopsitta xanthops,688,203
Alipiopsitta xanthops,688,203
Alipiopsitta xanthops,243,241
Alipiopsitta xanthops,243,241
Alipiopsitta xanthops,1037,285
Alipiopsitta xanthops,1037,285
Alipiopsitta xanthops,576,367
Alipiopsitta xanthops,576,367
Alipiopsitta xanthops,277,163
Alipiopsitta xanthops,277,163
Alipiopsitta xanthops,918,329
Alipiopsitta xanthops,917,329
Alipiopsitta xanthops,917,329
Alipiopsitta xanthops,877,352
Alipiopsitta xanthops,877,352
Alipiopsitta xanthops,560,283
Alipiopsitta xanthops,521,370
Alipiopsitta xanthops,445,136
Alipiopsitta xanthops,613,204
Alipiopsitta xanthops,613,204
Alipiopsitta xanthops,285,161
Alipiopsitta xanthops,246,161
Alipiopsitta xanthops,285,161
Alipiopsitta xanthops,365,161
Alipiopsitta xanthops,365,161
Alipiopsitta xanthops,246,161
Alipiopsitta xanthops,1210,307
Alipiopsitta xanthops,1210,307
Alipiopsitta xanthops,198,138
Alipiopsitta xanthops,613,393
Alipiopsitta xanthops,613,393
Alipiopsitta xanthops,659,308
Alipiopsitta xanthops,706,331
Alipiopsitta xanthops,706,331
Alipiopsitta xanthops,544,323
Alipiopsitta xanthops,306,279
Alipiopsitta xanthops,306,279
Alipiopsitta xanthops,617,349
Alipiopsitta xanthops,636,308
Alipiopsitta xanthops,636,308
Alipiopsitta xanthops,359,165
Alipiopsitta xanthops,198,138
Alipiopsitta xanthops,843,330
Alipiopsitta xanthops,1049,306
Alipiopsitta xanthops,1087,306
Alipiopsitta xanthops,150,318
Alipiopsitta xanthops,1112,306
Alipiopsitta xanthops,121,138
Alipiopsitta xanthops,557,349
Alipiopsitta xanthops,286,143
Alipiopsitta xanthops,193,143
Alipiopsitta xanthops,308,96
Alipiopsitta xanthops,86,142
Alipiopsitta xanthops,702,327
Alipiopsitta xanthops,305,280
Alipiopsitta xanthops,305,243
Alipiopsitta xanthops,435,325
Alipiopsitta xanthops,435,325
Alipiopsitta xanthops,921,327
Alipiopsitta xanthops,921,327
Alipiopsitta xanthops,765,347
Alipiopsitta xanthops,303,260
Alipiopsitta xanthops,916,328
Alipiopsitta xanthops,892,329
Alipiopsitta xanthops,609,310
Alipiopsitta xanthops,920,332
Alipiopsitta xanthops,920,332
Alipiopsitta xanthops,325,186
Alipiopsitta xanthops,797,286
Alipiopsitta xanthops,229,278
Alipiopsitta xanthops,229,278
Alipiopsitta xanthops,919,330
Alipiopsitta xanthops,919,330
Alipiopsitta xanthops,564,180
Alipiopsitta xanthops,912,330
Alipiopsitta xanthops,1100,331
Alipiopsitta xanthops,1100,331
Alipiopsitta xanthops,314,247
Alipiopsitta xanthops,314,247
Alipiopsitta xanthops,514,226
Alipiopsitta xanthops,514,226
Alipiopsitta xanthops,1081,412
Alipiopsitta xanthops,493,389
Alipiopsitta xanthops,298,227
Alipiopsitta xanthops,298,227
Alipiopsitta xanthops,563,181
Alipiopsitta xanthops,563,181
Alipiopsitta xanthops,305,186
Alipiopsitta xanthops,305,186
Alipiopsitta xanthops,361,159
Alipiopsitta xanthops,300,159
Alipiopsitta xanthops,300,159
Alipiopsitta xanthops,252,143
Alipiopsitta xanthops,252,143
Alipiopsitta xanthops,697,224
Alipiopsitta xanthops,697,224
Alipiopsitta xanthops,700,350
Alipiopsitta xanthops,700,350
Alipiopsitta xanthops,306,248
Alipiopsitta xanthops,306,248
Alipiopsitta xanthops,250,259
Alipiopsitta xanthops,250,259
Alipiopsitta xanthops,895,351
Alipiopsitta xanthops,603,329
Alipiopsitta xanthops,355,381
Alipiopsitta xanthops,291,258
Alipiopsitta xanthops,687,342
Alipiopsitta xanthops,540,343
Alipiopsitta xanthops,540,343
Alipiopsitta xanthops,331,242
Alipiopsitta xanthops,914,352
Alipiopsitta xanthops,914,352
Alipiopsitta xanthops,674,203
Alipiopsitta xanthops,674,203
Alipiopsitta xanthops,907,309
Alipiopsitta xanthops,375,227
Alipiopsitta xanthops,375,227
Alipiopsitta xanthops,401,301
Alipiopsitta xanthops,755,244
Alipiopsitta xanthops,755,244
Alipiopsitta xanthops,219,143
Alipiopsitta xanthops,219,143
Alipiopsitta xanthops,715,283
Alipiopsitta xanthops,715,283
Alipiopsitta xanthops,385,185
Alipiopsitta xanthops,385,185
Alipiopsitta xanthops,312,207
Alipiopsitta xanthops,312,207
Alipiopsitta xanthops,307,262
Alipiopsitta xanthops,307,262
Alipiopsitta xanthops,825,309
Alipiopsitta xanthops,738,309
Alipiopsitta xanthops,825,309
Alipiopsitta xanthops,314,221
Alipiopsitta xanthops,314,221
Alipiopsitta xanthops,210,239
Alipiopsitta xanthops,210,239
Alipiopsitta xanthops,527,200
Alipiopsitta xanthops,527,200
Alipiopsitta xanthops,928,374
Alipiopsitta xanthops,733,308
Alipiopsitta xanthops,733,308
Alipiopsitta xanthops,213,300
Alipiopsitta xanthops,213,300
Alipiopsitta xanthops,98,298
Alipiopsitta xanthops,98,298
Alipiopsitta xanthops,273,227
Alipiopsitta xanthops,273,227
Alipiopsitta xanthops,700,328
Alipiopsitta xanthops,700,328
Alipiopsitta xanthops,488,178
Alipiopsitta xanthops,457,363
Alipiopsitta xanthops,627,203
Alipiopsitta xanthops,618,342
Alipiopsitta xanthops,673,163
Alipiopsitta xanthops,915,309
Alipiopsitta xanthops,742,203
Alipiopsitta xanthops,458,342
Alipiopsitta xanthops,1077,306
Alipiopsitta xanthops,759,347
Alipiopsitta xanthops,895,330
Alipiopsitta xanthops,895,330
Alipiopsitta xanthops,1003,330
Alipiopsitta xanthops,1003,330
Alipiopsitta xanthops,1062,310
Alipiopsitta xanthops,1062,310
Alipiopsitta xanthops,325,161
Alipiopsitta xanthops,325,161
Alipiopsitta xanthops,245,281
Alipiopsitta xanthops,245,281
