id,left,top,right,bottom,xcoord,ycoord
10,-62.443771362158600,-13.532325744837181,-61.443771362158600,-14.532325744837181,-61.9437713621586,-14.0323257448372
29,-61.443771362158600,-11.532325744837181,-60.443771362158600,-12.532325744837181,-60.9437713621586,-12.0323257448372
30,-61.443771362158600,-12.532325744837181,-60.443771362158600,-13.532325744837181,-60.9437713621586,-13.0323257448372
31,-61.443771362158600,-13.532325744837181,-60.443771362158600,-14.532325744837181,-60.9437713621586,-14.0323257448372
32,-61.443771362158600,-14.532325744837181,-60.443771362158600,-15.532325744837181,-60.9437713621586,-15.0323257448372
50,-60.443771362158600,-11.532325744837181,-59.443771362158600,-12.532325744837181,-59.9437713621586,-12.0323257448372
51,-60.443771362158600,-12.532325744837181,-59.443771362158600,-13.532325744837181,-59.9437713621586,-13.0323257448372
52,-60.443771362158600,-13.532325744837181,-59.443771362158600,-14.532325744837181,-59.9437713621586,-14.0323257448372
53,-60.443771362158600,-14.532325744837181,-59.443771362158600,-15.532325744837181,-59.9437713621586,-15.0323257448372
70,-59.443771362158600,-10.532325744837181,-58.443771362158600,-11.532325744837181,-58.9437713621586,-11.0323257448372
72,-59.443771362158600,-12.532325744837181,-58.443771362158600,-13.532325744837181,-58.9437713621586,-13.0323257448372
73,-59.443771362158600,-13.532325744837181,-58.443771362158600,-14.532325744837181,-58.9437713621586,-14.0323257448372
74,-59.443771362158600,-14.532325744837181,-58.443771362158600,-15.532325744837181,-58.9437713621586,-15.0323257448372
75,-59.443771362158600,-15.532325744837181,-58.443771362158600,-16.532325744837181,-58.9437713621586,-16.0323257448372
76,-59.443771362158600,-16.532325744837181,-58.443771362158600,-17.532325744837181,-58.9437713621586,-17.0323257448372
92,-58.443771362158600,-11.532325744837181,-57.443771362158600,-12.532325744837181,-57.9437713621586,-12.0323257448372
93,-58.443771362158600,-12.532325744837181,-57.443771362158600,-13.532325744837181,-57.9437713621586,-13.0323257448372
94,-58.443771362158600,-13.532325744837181,-57.443771362158600,-14.532325744837181,-57.9437713621586,-14.0323257448372
95,-58.443771362158600,-14.532325744837181,-57.443771362158600,-15.532325744837181,-57.9437713621586,-15.0323257448372
96,-58.443771362158600,-15.532325744837181,-57.443771362158600,-16.532325744837181,-57.9437713621586,-16.0323257448372
97,-58.443771362158600,-16.532325744837181,-57.443771362158600,-17.532325744837181,-57.9437713621586,-17.0323257448372
101,-58.443771362158600,-20.532325744837181,-57.443771362158600,-21.532325744837181,-57.9437713621586,-21.0323257448372
102,-58.443771362158600,-21.532325744837181,-57.443771362158600,-22.532325744837181,-57.9437713621586,-22.0323257448372
103,-58.443771362158600,-22.532325744837181,-57.443771362158600,-23.532325744837181,-57.9437713621586,-23.0323257448372
114,-57.443771362158600,-12.532325744837181,-56.443771362158600,-13.532325744837181,-56.9437713621586,-13.0323257448372
115,-57.443771362158600,-13.532325744837181,-56.443771362158600,-14.532325744837181,-56.9437713621586,-14.0323257448372
116,-57.443771362158600,-14.532325744837181,-56.443771362158600,-15.532325744837181,-56.9437713621586,-15.0323257448372
